iter	Passed	Remaining
424	2062	2790
425	2067	2785
426	2071	2780
427	2075	2774
428	2081	2770
429	2086	2766
430	2090	2760
431	2094	2754
432	2099	2749
433	2104	2744
434	2108	2738
435	2112	2732
436	2118	2729
437	2122	2723
438	2126	2717
439	2132	2713
440	2137	2709
441	2141	2703
442	2145	2697
443	2150	2692
444	2155	2688
445	2160	2684
446	2167	2681
447	2172	2677
448	2177	2672
449	2183	2668
450	2188	2663
451	2192	2658
452	2196	2652
453	2202	2649
454	2208	2644
455	2213	2641
456	2219	2637
457	2224	2632
458	2230	2628
459	2236	2625
460	2241	2620
461	2245	2614
462	2251	2610
463	2255	2605
464	2259	2600
465	2266	2596
466	2271	2592
467	2276	2588
468	2283	2585
469	2288	2580
470	2293	2576
471	2300	2573
472	2304	2567
473	2310	2563
474	2316	2560
475	2322	2556
476	2327	2551
477	2333	2548
478	2338	2543
479	2343	2538
480	2349	2535
481	2353	2529
482	2357	2523
483	2362	2518
484	2367	2514
485	2372	2509
486	2378	2505
487	2384	2502
488	2389	2496
489	2393	2491
490	2400	2488
491	2405	2483
492	2410	2478
493	2416	2475
494	2421	2470
495	2425	2464
496	2431	2460
497	2435	2455
498	2439	2449
499	2444	2444
500	2449	2439
501	2455	2435
502	2461	2431
503	2467	2427
504	2472	2423
505	2476	2417
506	2482	2414
507	2487	2409
508	2491	2403
509	2498	2400
510	2503	2395
511	2508	2391
512	2515	2387
513	2520	2383
514	2527	2380
515	2533	2376
516	2538	2371
517	2545	2368
518	2551	2364
519	2556	2359
520	2561	2354
521	2566	2350
522	2571	2345
523	2577	2341
524	2583	2337
525	2588	2332
526	2595	2329
527	2600	2324
528	2605	2320
529	2611	2316
530	2615	2310
531	2619	2304
532	2624	2299
533	2630	2295
534	2634	2289
535	2638	2284
536	2643	2279
537	2648	2274
538	2652	2268
539	2656	2263
540	2661	2258
541	2665	2252
542	2669	2246
543	2673	2241
544	2677	2235
545	2681	2229
546	2685	2224
547	2689	2218
548	2693	2213
549	2697	2207
550	2702	2201
551	2706	2196
552	2710	2190
553	2714	2185
554	2718	2179
555	2721	2173
556	2726	2168
557	2729	2162
558	2734	2156
559	2737	2151
560	2741	2145
561	2745	2139
562	2749	2134
563	2755	2129
564	2759	2124
565	2763	2118
566	2767	2113
567	2771	2107
568	2775	2102
569	2779	2096
570	2782	2090
571	2786	2085
572	2790	2079
573	2794	2074
574	2798	2068
575	2802	2063
576	2806	2057
577	2810	2052
578	2814	2046
579	2818	2041
580	2822	2035
581	2827	2030
582	2831	2024
583	2835	2019
584	2839	2014
585	2843	2008
586	2847	2003
587	2850	1997
588	2854	1992
589	2858	1986
590	2862	1980
591	2866	1975
592	2870	1969
593	2873	1964
594	2877	1958
595	2881	1953
596	2886	1948
597	2889	1942
598	2894	1937
599	2898	1932
600	2902	1926
601	2905	1921
602	2909	1915
603	2913	1910
604	2918	1905
605	2922	1899
606	2926	1895
607	2931	1889
608	2935	1884
609	2938	1878
610	2942	1873
611	2946	1868
612	2950	1862
613	2954	1857
614	2958	1852
615	2963	1847
616	2967	1842
617	2972	1837
618	2977	1832
619	2981	1827
620	2985	1822
621	2990	1817
622	2995	1812
623	3000	1807
624	3006	1803
625	3012	1799
626	3017	1795
627	3023	1790
628	3029	1786
629	3034	1781
630	3038	1776
631	3042	1771
632	3046	1766
633	3050	1761
634	3056	1757
635	3062	1752
636	3066	1747
637	3070	1742
638	3076	1737
639	3080	1732
640	3084	1727
641	3091	1723
642	3095	1718
643	3099	1713
644	3104	1708
645	3110	1704
646	3114	1699
647	3119	1694
648	3124	1689
649	3128	1684
650	3132	1679
651	3137	1674
652	3141	1669
653	3146	1664
654	3150	1659
655	3155	1654
656	3159	1649
657	3163	1644
658	3168	1639
659	3173	1634
660	3177	1629
661	3181	1624
662	3186	1619
663	3191	1615
664	3195	1609
665	3200	1605
666	3205	1600
667	3209	1595
668	3213	1590
669	3218	1585
670	3222	1580
671	3227	1575
672	3231	1569
673	3235	1565
674	3240	1560
675	3244	1555
676	3248	1549
677	3253	1545
678	3257	1540
679	3261	1534
680	3265	1529
681	3270	1524
682	3274	1519
683	3278	1514
684	3283	1509
685	3287	1504
686	3291	1499
687	3295	1494
688	3299	1489
689	3304	1484
690	3308	1479
691	3312	1474
692	3317	1469
693	3321	1464
694	3325	1459
695	3329	1454
696	3334	1449
697	3338	1444
698	3342	1439
699	3346	1434
700	3351	1429
701	3355	1424
702	3359	1419
703	3363	1414
704	3368	1409
705	3373	1404
706	3377	1399
707	3381	1394
708	3386	1389
709	3390	1384
710	3394	1379
711	3398	1374
712	3403	1369
713	3407	1364
714	3411	1359
715	3416	1355
716	3421	1350
717	3424	1345
718	3428	1340
719	3433	1335
720	3437	1330
721	3441	1325
722	3445	1320
723	3450	1315
724	3454	1310
725	3459	1305
726	3463	1300
727	3467	1295
728	3471	1290
