iter	Logloss
0	0.6683900208
1	0.6463646464
2	0.6298571865
3	0.6178656786
4	0.6029271383
5	0.5889068899
6	0.576264729
7	0.5698055184
8	0.5585765649
9	0.549114907
10	0.5401253218
11	0.5325892782
12	0.5280515301
13	0.5240530852
14	0.5195794515
15	0.5182810693
16	0.5135554266
17	0.5090474384
18	0.5056789268
19	0.5013864198
20	0.5003529102
21	0.4970549426
22	0.4952092428
23	0.4924692203
24	0.4896004887
25	0.4877403108
26	0.4847554246
27	0.4832416291
28	0.4827943472
29	0.4810710878
30	0.4796918159
31	0.4768986314
32	0.4749494473
33	0.4726146742
34	0.4707053885
35	0.4686533916
36	0.467624358
37	0.4664947359
38	0.4650587519
39	0.4645912714
40	0.463466628
41	0.4619556323
42	0.4613351056
43	0.4608046212
44	0.4598291459
45	0.4587044148
46	0.4575663657
47	0.4563408853
48	0.4559871072
49	0.4551472679
50	0.4549212831
51	0.4536716421
52	0.4527116121
53	0.4516922922
54	0.450602389
55	0.449947139
56	0.4496083438
57	0.4488973903
58	0.4485587842
59	0.4474963176
60	0.446824879
61	0.4460709353
62	0.4453600319
63	0.4448629776
64	0.4439690252
65	0.4429597551
66	0.4429597158
67	0.442059738
68	0.4415272905
69	0.4409364516
70	0.4404764046
71	0.4397596482
72	0.4390967568
73	0.438351545
74	0.4376937635
75	0.4374142834
76	0.43711676
77	0.4367972012
78	0.4358548858
79	0.4354555347
80	0.4350609366
81	0.4345576588
82	0.4342404165
83	0.4339435196
84	0.4336668458
85	0.4329809633
86	0.4324264957
87	0.432137979
88	0.4319713368
89	0.43153951
90	0.4313688304
91	0.4307532803
92	0.4305840827
93	0.4302782971
94	0.429635696
95	0.4290091907
96	0.4283841245
97	0.4281153876
98	0.4276976062
99	0.4271784085
100	0.4270863874
101	0.4266422797
102	0.4263908363
103	0.425886734
104	0.425697124
105	0.424966214
106	0.4246275839
107	0.42436062
108	0.4239741475
109	0.4232096471
110	0.423167632
111	0.4226993595
112	0.4223873251
113	0.421934444
114	0.4219176408
115	0.4216453751
116	0.4212883943
117	0.420726259
118	0.4201794496
119	0.4200915219
120	0.4197775376
121	0.4194234787
122	0.4188937849
123	0.41868813
124	0.4181930292
125	0.4181604167
126	0.4176825414
127	0.4174570761
128	0.4172512303
129	0.417101111
130	0.416823058
131	0.4166220737
132	0.4162955425
133	0.4157308327
134	0.4155051505
135	0.4149328908
136	0.4148064241
137	0.4146460714
138	0.4144499026
139	0.4144499019
140	0.4143204396
141	0.4141278192
142	0.4140501701
143	0.4140189767
144	0.413915969
145	0.4139159686
146	0.4134503667
147	0.4129346119
148	0.4127387027
149	0.4124655205
150	0.4122322919
151	0.411736548
152	0.4115172798
153	0.4112141038
154	0.4108082268
155	0.4105760906
156	0.4104269724
157	0.4103889676
158	0.4100135566
159	0.4098343132
160	0.4093883922
161	0.4090271662
162	0.4088134139
163	0.4087389243
164	0.4084939625
165	0.4080284654
166	0.4078593243
167	0.4076898288
168	0.4072702542
169	0.4067981147
170	0.4067829675
171	0.4062052969
172	0.4059143125
173	0.4058394158
174	0.4052641274
175	0.4049943406
176	0.4047141719
177	0.4042784023
178	0.4040651086
179	0.4036743432
180	0.403353581
181	0.4029465081
182	0.4025234217
183	0.4021996043
184	0.401907024
185	0.4015636985
186	0.4012640526
187	0.4006667671
188	0.4004086626
189	0.3999709078
190	0.3998504247
191	0.3995055171
192	0.3988836448
193	0.3985060935
194	0.3983388572
195	0.3978923082
196	0.3975482344
197	0.3972054722
198	0.3967198673
199	0.39632576
200	0.395870215
201	0.3954045148
202	0.3950593679
203	0.3946902846
204	0.3943698354
205	0.3939634266
206	0.3935573181
207	0.3932283892
208	0.3928733437
209	0.3926384042
210	0.3922930436
211	0.391899996
212	0.3913636319
213	0.3909971737
214	0.3904759268
215	0.3901423247
216	0.3898933498
217	0.3893457571
218	0.3889857344
219	0.388610071
220	0.3882190957
221	0.3876036467
222	0.3873800685
223	0.3868975337
224	0.3864813955
225	0.3860829738
226	0.38543359
227	0.3850864982
228	0.3850346068
229	0.3845813501
230	0.3841034399
231	0.3837300034
232	0.383175395
233	0.3827761029
234	0.382439546
235	0.3821628848
236	0.381862951
237	0.3814591203
238	0.3809700512
239	0.3803311281
240	0.3800257784
241	0.3796900117
242	0.379282343
243	0.3790293864
244	0.3783472196
245	0.378030541
246	0.377567062
247	0.3772662283
248	0.3768703349
249	0.376503154
250	0.3763447486
251	0.376133829
252	0.3757972288
253	0.3753294972
254	0.3751192952
255	0.3747302152
256	0.3742671082
257	0.3739136105
258	0.3733898517
259	0.3730174465
260	0.3726766981
261	0.3722485998
262	0.3718340651
263	0.3715677308
264	0.3712921743
265	0.3709694007
266	0.3706289057
267	0.3703052661
268	0.3697761039
269	0.3694679317
270	0.3690560081
271	0.3687569051
272	0.3684730209
273	0.3681688498
274	0.3677308221
275	0.3672513019
276	0.3670990301
277	0.366772845
278	0.3662677694
279	0.3658250484
280	0.3653405318
281	0.3649589174
282	0.3646721191
283	0.3642259771
284	0.3635861365
285	0.3634684117
286	0.3629933606
287	0.3625873878
288	0.3621997908
289	0.3617787302
290	0.3614848149
291	0.3611873319
292	0.3607711975
293	0.3605623558
294	0.3603590526
295	0.3599163626
296	0.3594997264
297	0.358949972
298	0.3585914858
299	0.3581594899
300	0.3577748162
301	0.3574915737
302	0.3571854021
303	0.3569650149
304	0.356566916
305	0.3562506538
306	0.3559050143
307	0.3555913445
308	0.3554547662
309	0.3551929653
310	0.3548656911
311	0.3546937785
312	0.3543014332
313	0.3539422561
314	0.3535343556
315	0.3532574619
316	0.3530293929
317	0.3527566624
318	0.3525109092
319	0.3521581593
320	0.351848054
321	0.3515435044
322	0.3512679059
323	0.3509155159
324	0.3507328589
325	0.350480627
326	0.3501993725
327	0.3500544539
328	0.3497484538
329	0.3494616868
330	0.3491811029
331	0.3488619833
332	0.3486835403
333	0.3483684964
334	0.3480952973
335	0.3478609706
336	0.3475305473
337	0.3473698558
338	0.3471077211
339	0.3466808725
340	0.3462713558
341	0.345913877
342	0.3456018582
343	0.3453105065
344	0.344910231
345	0.3448181862
346	0.3445698739
347	0.3442490306
348	0.3439953922
349	0.3436929417
350	0.3433462132
351	0.3430727762
352	0.3429401713
353	0.3426271991
354	0.3423785775
